Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
78.25,"(0.00, 326.50)","(5.00, 269.50)","(-35.00, 406.00)","(-34.25, 227.00)","(13.75, 372.50)","(59.25, 288.00)","(44.25, 308.50)"
78.5,"(0.00, 329.00)","(4.00, 271.00)","(-36.00, 406.00)","(-33.50, 228.00)","(15.50, 375.00)","(59.50, 288.00)","(43.50, 311.00)"
78.75,"(0.00, 331.50)","(3.00, 272.50)","(-37.00, 406.00)","(-32.75, 229.00)","(17.25, 377.50)","(59.75, 288.00)","(42.75, 313.50)"
79.0,"(0.00, 334.00)","(2.00, 274.00)","(-38.00, 406.00)","(-32.00, 230.00)","(19.00, 380.00)","(60.00, 288.00)","(42.00, 316.00)"
79.25,"(0.75, 335.00)","(2.25, 276.75)","(-36.75, 406.50)","(-31.00, 231.75)","(17.75, 381.00)","(58.29, 288.33)","(42.00, 317.50)"
79.5,"(1.50, 336.00)","(2.50, 279.50)","(-35.50, 407.00)","(-30.00, 233.50)","(16.50, 382.00)","(56.59, 288.66)","(42.00, 319.00)"
79.75,"(2.25, 337.00)","(2.75, 282.25)","(-34.25, 407.50)","(-29.00, 235.25)","(15.25, 383.00)","(54.88, 289.00)","(42.00, 320.50)"
80.0,"(3.00, 338.00)","(3.00, 285.00)","(-33.00, 408.00)","(-28.00, 237.00)","(14.00, 384.00)","(53.17, 289.33)","(42.00, 322.00)"
80.25,"(3.00, 338.00)","(3.00, 285.00)","(-33.25, 408.00)","(-28.00, 237.00)","(14.00, 384.00)","(53.76, 289.30)","(42.00, 322.00)"
80.5,"(3.00, 338.00)","(3.00, 285.00)","(-33.50, 408.00)","(-28.00, 237.00)","(14.00, 384.00)","(54.35, 289.27)","(42.00, 322.00)"
80.75,"(3.00, 338.00)","(3.00, 285.00)","(-33.75, 408.00)","(-28.00, 237.00)","(14.00, 384.00)","(54.94, 289.25)","(42.00, 322.00)"
81.0,"(3.00, 338.00)","(3.00, 285.00)","(-34.00, 408.00)","(-28.00, 237.00)","(14.00, 384.00)","(55.53, 289.22)","(42.00, 322.00)"
81.25,"(4.50, 339.00)","(2.75, 283.25)","(-35.00, 407.50)","(-29.00, 238.25)","(14.50, 385.00)","(54.65, 290.42)","(42.50, 323.00)"
81.5,"(6.00, 340.00)","(2.50, 281.50)","(-36.00, 407.00)","(-30.00, 239.50)","(15.00, 386.00)","(53.77, 291.61)","(43.00, 324.00)"
81.75,"(7.50, 341.00)","(2.25, 279.75)","(-37.00, 406.50)","(-31.00, 240.75)","(15.50, 387.00)","(52.88, 292.81)","(43.50, 325.00)"
82.0,"(9.00, 342.00)","(2.00, 278.00)","(-38.00, 406.00)","(-32.00, 242.00)","(16.00, 388.00)","(52.00, 294.00)","(44.00, 326.00)"
82.25,"(9.75, 343.25)","(3.50, 282.00)","(-38.00, 406.00)","(-31.00, 244.00)","(16.50, 390.00)","(52.50, 293.50)","(44.00, 327.50)"
82.5,"(10.50, 344.50)","(5.00, 286.00)","(-38.00, 406.00)","(-30.00, 246.00)","(17.00, 392.00)","(53.00, 293.00)","(44.00, 329.00)"
82.75,"(11.25, 345.75)","(6.50, 290.00)","(-38.00, 406.00)","(-29.00, 248.00)","(17.50, 394.00)","(53.50, 292.50)","(44.00, 330.50)"
83.0,"(12.00, 347.00)","(8.00, 294.00)","(-38.00, 406.00)","(-28.00, 250.00)","(18.00, 396.00)","(54.00, 292.00)","(44.00, 332.00)"
83.25,"(12.00, 348.25)","(7.25, 296.00)","(-38.00, 406.00)","(-29.50, 252.50)","(18.00, 397.00)","(51.50, 293.00)","(45.33, 336.92)"
83.5,"(12.00, 349.50)","(6.50, 298.00)","(-38.00, 406.00)","(-31.00, 255.00)","(18.00, 398.00)","(49.00, 294.00)","(46.66, 341.84)"
